event_date|repo                                       |total_pushes|total_commits|last_push              |unique_contributors|total_pr_opened|last_pr_opened_number|last_pr_opened_at      |total_pr_closed|last_pr_closed_number|last_pr_closed_at      |
2015-01-08|PwnDoRa/wargames                           |          85|           96|2015-01-08 14:04:13.000|                  9|              1|                    1|2015-01-08 13:38:57.000|              1|                    1|2015-01-08 13:45:18.000|
2015-01-21|caskdata/cdap                              |          85|          348|2015-01-21 23:11:40.000|                 13|             22|                 1074|2015-01-21 23:40:32.000|             29|                 1071|2015-01-21 23:11:01.000|
2015-01-21|michalbe/re-collection                     |          85|          124|2015-01-21 13:33:05.000|                  1|              3|                    5|2015-01-21 13:33:00.000|              3|                    5|2015-01-21 13:33:05.000|
2015-02-06|edx/edx-platform                           |          85|          533|2015-02-06 22:22:57.000|                 26|             16|                 6921|2015-02-06 22:49:02.000|             18|                 6919|2015-02-06 21:39:36.000|
2015-01-14|rust-lang/rust                             |          84|          226|2015-01-14 23:02:18.000|                  2|             18|                21161|2015-01-14 23:43:44.000|              8|                21143|2015-01-14 23:50:11.000|
2015-02-15|crystalclaw/ResoNet                        |          84|           88|2015-02-15 17:44:29.000|                  4|              1|                    2|2015-02-15 02:27:19.000|              1|                    2|2015-02-15 02:55:03.000|
2015-02-08|dcsan/r2r                                  |          84|          274|2015-02-08 23:45:06.000|                  5|              1|                   31|2015-02-08 21:25:59.000|              1|                   31|2015-02-08 21:26:15.000|
2015-01-26|opensearchserver/oss-java-client           |          84|           88|2015-01-26 17:06:56.000|                  1|              4|                    7|2015-01-26 17:05:14.000|              4|                    7|2015-01-26 17:05:18.000|
2015-01-27|guardian/frontend                          |          84|          309|2015-01-27 23:50:27.000|                 18|             37|                 8032|2015-01-27 17:20:57.000|             45|                 8032|2015-01-27 17:22:29.000|
2015-02-07|maxerdwien/team-game                       |          83|          296|2015-02-07 23:55:39.000|                  3|              1|                    1|2015-02-07 04:01:22.000|              1|                    1|2015-02-07 04:01:40.000|
2015-01-23|elisaapra/elisaapra.github.io              |          83|           83|2015-01-23 22:28:37.000|                  1|              1|                    1|2015-01-23 04:16:20.000|              1|                    1|2015-01-23 04:16:35.000|
2015-01-15|mozilla-b2g/gaia                           |          83|          168|2015-01-15 23:28:32.000|                 32|             43|                27438|2015-01-15 23:03:03.000|             76|                27433|2015-01-15 23:27:54.000|
2015-01-12|GroupXXIII/config                          |          83|           88|2015-01-12 23:59:21.000|                  3|              2|                    2|2015-01-12 20:32:27.000|              1|                    2|2015-01-12 20:34:31.000|
2015-01-19|cms-sw/cms-sw.github.io                    |          83|           84|2015-01-19 23:30:59.000|                  2|              1|                   17|2015-01-19 12:57:07.000|              1|                   17|2015-01-19 14:15:53.000|
2015-01-27|caskdata/cdap                              |          82|          276|2015-01-27 23:49:12.000|                 16|             17|                 1142|2015-01-27 23:28:16.000|             18|                 1139|2015-01-27 23:11:10.000|
2015-01-25|Frostlag/GI-Jam-W-2015                     |          82|          344|2015-01-25 23:58:50.000|                  5|             23|                   43|2015-01-25 23:47:21.000|             22|                   43|2015-01-25 23:47:24.000|
2015-02-11|edx/edx-platform                           |          82|          330|2015-02-11 23:40:20.000|                 25|             20|                 6972|2015-02-11 21:19:13.000|             15|                 6961|2015-02-11 21:10:07.000|
2015-02-11|Redew/minun                                |          82|          127|2015-02-11 23:57:03.000|                  1|             36|                   78|2015-02-11 23:56:59.000|             37|                   78|2015-02-11 23:57:03.000|
2015-02-02|CocoaPods/Specs                            |          82|           84|2015-02-02 23:32:23.000|                  2|              5|                12943|2015-02-02 21:35:27.000|              4|                12942|2015-02-02 19:30:28.000|
2015-01-20|CocoaPods/Specs                            |          82|           82|2015-01-20 23:39:41.000|                  1|              2|                12918|2015-01-20 13:45:12.000|              2|                12918|2015-01-20 17:03:57.000|
2015-02-04|CocoaPods/Specs                            |          81|           81|2015-02-04 23:28:30.000|                  1|              1|                12945|2015-02-04 12:26:14.000|              1|                12945|2015-02-04 17:49:32.000|
2015-02-10|mozilla-b2g/gaia                           |          81|          201|2015-02-10 21:12:26.000|                 28|             45|                28128|2015-02-10 23:33:52.000|             58|                28116|2015-02-10 21:11:14.000|
2015-01-23|CounterpartyXCP/Documentation              |          81|          113|2015-01-23 20:48:08.000|                  3|              8|                   11|2015-01-23 16:07:39.000|              8|                   11|2015-01-23 16:07:48.000|
2015-01-24|flynn/flynn                                |          81|          551|2015-01-24 23:59:47.000|                  5|             16|                  802|2015-01-24 23:02:31.000|             16|                  801|2015-01-24 22:18:28.000|
2015-02-14|tmknom/tech-study                          |          81|           86|2015-02-14 19:26:34.000|                  1|              3|                   10|2015-02-14 13:46:20.000|              3|                   10|2015-02-14 13:47:58.000|
2015-01-15|caskdata/cdap                              |          80|          468|2015-01-15 23:56:05.000|                 13|             18|                  975|2015-01-15 23:54:17.000|             11|                  975|2015-01-15 23:56:04.000|
2015-01-15|jeff1evesque/machine-learning              |          80|          356|2015-01-15 20:06:52.000|                  1|             23|                 1113|2015-01-15 20:06:48.000|             23|                 1113|2015-01-15 20:06:52.000|
2015-01-30|cms-sw/cmssw                               |          80|          498|2015-01-30 22:15:03.000|                  2|             23|                 7486|2015-01-30 22:53:40.000|             36|                 7481|2015-01-30 22:14:55.000|
2015-02-09|odoo-dev/odoo                              |          80|          388|2015-02-09 23:44:59.000|                 35|               |                     |                       |              1|                   80|2015-02-09 08:54:36.000|
2015-02-09|cms-sw/cms-sw.github.io                    |          80|           81|2015-02-09 23:31:25.000|                  2|              1|                   21|2015-02-09 15:47:10.000|              1|                   21|2015-02-09 15:47:27.000|
2015-02-08|snowpeame/snowpeas                         |          80|          142|2015-02-08 17:06:57.000|                  4|              1|                    5|2015-02-08 12:32:00.000|              1|                    5|2015-02-08 12:37:29.000|
2015-01-27|softDEAD/Ferries                           |          80|          175|2015-01-27 20:10:32.000|                  4|              4|                   20|2015-01-27 15:42:49.000|              3|                   20|2015-01-27 15:47:22.000|
2015-01-29|caskdata/cdap                              |          80|          280|2015-01-29 23:42:25.000|                 15|             19|                 1178|2015-01-29 23:55:21.000|             20|                 1174|2015-01-29 23:27:19.000|
2015-01-14|CocoaPods/Specs                            |          79|           80|2015-01-14 23:33:52.000|                  2|               |                     |                       |              2|                12907|2015-01-14 03:26:35.000|
2015-01-21|guardian/frontend                          |          78|          400|2015-01-21 18:19:22.000|                 17|             27|                 7914|2015-01-21 19:34:11.000|             32|                 7913|2015-01-21 17:56:24.000|
2015-01-21|rackerlabs/cloudfeeds-preferences-svc      |          78|           41|2015-01-21 19:22:21.000|                  3|              1|                   33|2015-01-21 16:42:48.000|              1|                   33|2015-01-21 18:52:23.000|
